fix_name,latitude,longitude,type
00A,40.07083333,-74.93361111,AIRPORT
00AA,38.70402222,-101.47391111,AIRPORT
00AK,59.94888888,-151.69222222,AIRPORT
00AL,34.86481027,-86.7702775,AIRPORT
00AN,59.09347222,-156.45583333,AIRPORT
00AR,38.96966027,-97.6015615,AIRPORT
00AS,34.94280277,-97.81801944,AIRPORT
00C,37.20317833,-107.86919527,AIRPORT
00CA,35.35497222,-116.88520833,AIRPORT
00CL,39.42718888,-121.76342777,AIRPORT
00CN,32.72737361,-116.45974166,AIRPORT
00F,45.47047222,-105.45713888,AIRPORT
00FA,28.64554722,-82.218975,AIRPORT
00FL,27.23087972,-80.96923055,AIRPORT
00GA,33.7675,-84.06833333,AIRPORT
00GE,33.88801944,-84.73694722,AIRPORT
00ID,48.14527777,-116.21444444,AIRPORT
00IG,39.72402777,-101.39599444,AIRPORT
00IL,41.97836333,-89.56038833,AIRPORT
00IN,41.51138888,-87.26055555,AIRPORT
00IS,40.025595,-89.12286472,AIRPORT
00KS,38.72778666,-94.93051972,AIRPORT
00LA,30.19194444,-90.97916666,AIRPORT
00LS,30.13627777,-92.42936111,AIRPORT
00M,31.95375,-89.23533333,AIRPORT
00MI,43.01583333,-83.51843333,AIRPORT
00MN,46.29996027,-95.70032416,AIRPORT
00MT,45.67500555,-110.52533055,AIRPORT
00N,39.47373919,-75.18456752,AIRPORT
00NC,36.08515027,-78.37138555,AIRPORT
00NJ,40.52093694,-74.4745975,AIRPORT
00NK,44.81186111,-73.36980555,AIRPORT
00NR,35.59475,-75.47005555,AIRPORT
00OH,39.20305555,-84.67055833,AIRPORT
00OI,39.74491894,-84.18726127,AIRPORT
00OK,36.198918,-96.217682,AIRPORT
00PN,41.2995,-80.21111111,AIRPORT
00R,30.68586111,-95.01791666,AIRPORT
00S,44.18155555,-122.08555555,AIRPORT
00SC,34.00944444,-80.26722222,AIRPORT
00SD,44.80915833,-96.49889722,AIRPORT
00TA,29.93569444,-93.9855,AIRPORT
00TN,36.12045105,-86.35953227,AIRPORT
00TS,32.60793888,-97.24232222,AIRPORT
00TT,34.516606,-99.9369405,AIRPORT
00TX,32.544452,-95.67313,AIRPORT
00U,45.74438888,-107.66044444,AIRPORT
00VA,36.576,-78.99916666,AIRPORT
00VI,36.66333333,-80.4995,AIRPORT
00W,46.67275,-117.44166666,AIRPORT
00WA,47.17843055,-122.7718,AIRPORT
00WI,44.304285,-89.05011361,AIRPORT
00WN,46.25,-117.249,AIRPORT
00WV,38.82888888,-79.86611111,AIRPORT
00WY,42.84036111,-106.22444444,AIRPORT
00XA,30.2240375,-96.01415277,AIRPORT
00XS,27.57575411,-98.60071661,AIRPORT
01A,62.94075555,-152.26960972,AIRPORT
01AA,62.03242277,-158.23623166,AIRPORT
01AK,60.10579444,-149.44625555,AIRPORT
01AL,32.94595611,-86.51386833,AIRPORT
01AN,61.64902777,-149.33902777,AIRPORT
01AZ,34.60805555,-111.86472222,AIRPORT
01B,41.33305555,-85.7675,AIRPORT
01CA,34.36823888,-117.37007222,AIRPORT
01CL,38.79990222,-120.73437555,AIRPORT
01CN,62.10698194,-150.10929861,AIRPORT
01CO,39.24496111,-106.30275833,AIRPORT
01CT,41.62663055,-72.72716666,AIRPORT
01D,41.40361111,-85.70611111,AIRPORT
01E,41.7,-85.03930555,AIRPORT
01F,41.55222222,-84.91722222,AIRPORT
